# Threshold Efficiency
0.000690 0.999753
0.000790 0.999507
0.000889 0.999507
0.000989 0.999507
0.001088 0.999507
0.001188 0.999260
0.001288 0.999260
0.001387 0.999260
0.001487 0.999260
0.001587 0.999260
0.001686 0.999260
0.001786 0.999260
0.001885 0.999014
0.001985 0.999014
0.002085 0.999014
0.002184 0.999014
0.002284 0.999014
0.002384 0.999014
0.002483 0.999014
0.002583 0.999014
0.002683 0.999014
0.002782 0.999014
0.002882 0.999014
0.002981 0.998767
0.003081 0.998767
0.003181 0.998767
0.003280 0.998767
0.003380 0.998767
0.003480 0.998767
0.003579 0.998520
0.003679 0.998274
0.003778 0.997781
0.003878 0.997781
0.003978 0.997781
0.004077 0.997534
0.004177 0.997041
0.004277 0.997041
0.004376 0.997041
0.004476 0.997041
0.004576 0.997041
0.004675 0.997041
0.004775 0.997041
0.004874 0.996794
0.004974 0.996547
0.005074 0.996547
0.005173 0.996054
0.005273 0.996054
0.005373 0.996054
0.005472 0.995314
0.005572 0.995068
0.005672 0.995068
0.005771 0.995068
0.005871 0.994575
0.005970 0.994575
0.006070 0.994575
0.006170 0.994575
0.006269 0.994081
0.006369 0.993342
0.006469 0.993342
0.006568 0.993342
0.006668 0.993342
0.006767 0.993095
0.006867 0.992848
0.006967 0.992848
0.007066 0.992848
0.007166 0.992848
0.007266 0.992848
0.007365 0.992602
0.007465 0.992602
0.007565 0.991862
0.007664 0.991615
0.007764 0.991615
0.007863 0.991369
0.007963 0.991122
0.008063 0.991122
0.008162 0.990875
0.008262 0.990382
0.008362 0.990136
0.008461 0.990136
0.008561 0.989889
0.008660 0.989396
0.008760 0.988903
0.008860 0.988409
0.008959 0.987916
0.009059 0.987670
0.009159 0.987423
0.009258 0.987423
0.009358 0.987423
0.009458 0.987423
0.009557 0.987423
0.009657 0.987176
0.009756 0.987176
0.009856 0.987176
0.009956 0.986683
0.010055 0.986436
0.010155 0.985697
0.010255 0.985450
0.010354 0.985450
0.010454 0.985203
0.010554 0.984957
0.010653 0.984957
0.010753 0.984957
0.010852 0.984710
0.010952 0.984217
0.011052 0.983970
0.011151 0.983724
0.011251 0.983724
0.011351 0.983724
0.011450 0.983231
0.011550 0.982737
0.011649 0.982737
0.011749 0.982737
0.011849 0.982737
0.011948 0.982737
0.012048 0.982737
0.012148 0.982737
0.012247 0.982491
0.012347 0.982244
0.012447 0.982244
0.012546 0.981504
0.012646 0.981258
0.012745 0.980764
0.012845 0.980518
0.012945 0.980518
0.013044 0.980271
0.013144 0.980025
0.013244 0.979778
0.013343 0.979531
0.013443 0.979285
0.013542 0.979285
0.013642 0.979285
0.013742 0.979285
0.013841 0.979038
0.013941 0.979038
0.014041 0.978792
0.014140 0.978792
0.014240 0.978545
0.014340 0.978298
0.014439 0.977559
0.014539 0.976819
0.014638 0.976819
0.014738 0.976819
0.014838 0.976326
0.014937 0.976079
0.015037 0.976079
0.015137 0.975832
0.015236 0.975832
0.015336 0.975339
0.015436 0.975092
0.015535 0.974599
0.015635 0.974106
0.015734 0.973859
0.015834 0.973366
0.015934 0.972873
0.016033 0.972133
0.016133 0.971887
0.016233 0.971393
0.016332 0.970407
0.016432 0.969667
0.016531 0.969667
0.016631 0.969667
0.016731 0.969420
0.016830 0.969420
0.016930 0.969420
0.017030 0.969174
0.017129 0.968681
0.017229 0.968187
0.017329 0.968187
0.017428 0.967941
0.017528 0.967941
0.017627 0.967694
0.017727 0.966954
0.017827 0.966708
0.017926 0.966708
0.018026 0.966461
0.018126 0.966461
0.018225 0.965721
0.018325 0.965721
0.018425 0.965721
0.018524 0.965475
0.018624 0.964982
0.018723 0.964982
0.018823 0.964982
0.018923 0.964735
0.019022 0.964488
0.019122 0.964488
0.019222 0.964242
0.019321 0.964242
0.019421 0.963995
0.019520 0.963255
0.019620 0.963255
0.019720 0.962762
0.019819 0.962762
0.019919 0.962515
0.020019 0.961529
0.020118 0.961036
0.020218 0.961036
0.020318 0.960789
0.020417 0.960789
0.020517 0.960543
0.020616 0.960296
0.020716 0.960049
0.020816 0.960049
0.020915 0.959556
0.021015 0.959309
0.021115 0.958816
0.021214 0.958323
0.021314 0.957583
0.021413 0.956350
0.021513 0.956350
0.021613 0.955857
0.021712 0.955364
0.021812 0.954871
0.021912 0.954871
0.022011 0.954624
0.022111 0.954131
0.022211 0.954131
0.022310 0.954131
0.022410 0.953637
0.022509 0.953144
0.022609 0.952898
0.022709 0.952651
