# Threshold Efficiency
0.000731 0.999697
0.000831 0.999090
0.000930 0.999090
0.001029 0.998787
0.001129 0.998181
0.001228 0.998181
0.001327 0.997574
0.001427 0.996665
0.001526 0.996665
0.001625 0.996058
0.001725 0.995452
0.001824 0.995452
0.001923 0.994845
0.002023 0.993936
0.002122 0.993329
0.002221 0.992420
0.002321 0.991813
0.002420 0.990600
0.002519 0.989994
0.002619 0.988478
0.002718 0.987871
0.002817 0.987265
0.002917 0.986052
0.003016 0.985143
0.003115 0.984233
0.003215 0.984233
0.003314 0.983020
0.003413 0.982414
0.003513 0.981504
0.003612 0.981201
0.003711 0.981201
0.003811 0.980594
0.003910 0.979988
0.004009 0.978775
0.004109 0.978775
0.004208 0.978472
0.004307 0.977259
0.004407 0.976956
0.004506 0.975136
0.004605 0.974530
0.004705 0.974227
0.004804 0.973317
0.004903 0.972408
0.005003 0.971498
0.005102 0.971195
0.005201 0.969375
0.005301 0.968769
0.005400 0.968163
0.005499 0.966950
0.005599 0.966646
0.005698 0.965434
0.005797 0.964524
0.005897 0.963918
0.005996 0.963614
0.006095 0.963008
0.006195 0.962098
0.006294 0.960279
0.006394 0.959369
0.006493 0.958156
0.006592 0.957853
0.006692 0.956640
0.006791 0.956337
0.006890 0.956337
0.006990 0.956034
0.007089 0.955731
0.007188 0.954518
0.007288 0.954215
0.007387 0.953305
0.007486 0.952395
0.007586 0.952395
0.007685 0.952092
0.007784 0.951789
0.007884 0.951183
0.007983 0.950879
0.008082 0.950576
0.008182 0.949666
0.008281 0.949666
0.008380 0.949666
0.008480 0.949060
0.008579 0.948757
0.008678 0.948454
0.008778 0.948454
0.008877 0.947847
0.008976 0.947241
0.009076 0.946634
0.009175 0.946634
0.009274 0.946331
0.009374 0.945421
0.009473 0.944815
0.009572 0.944512
0.009672 0.944209
0.009771 0.943905
0.009870 0.943905
0.009970 0.943905
0.010069 0.943905
0.010168 0.943905
0.010268 0.943905
0.010367 0.943299
0.010466 0.943299
0.010566 0.942996
0.010665 0.942086
0.010764 0.940873
0.010864 0.940570
0.010963 0.939660
0.011062 0.939054
0.011162 0.938751
0.011261 0.938751
0.011360 0.937841
0.011460 0.937538
0.011559 0.936325
0.011658 0.935112
0.011758 0.935112
